"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(30, 40)","(37, 65)","(54, 72)","(67, 63)","(60, 42)","(45, 35)","(47, 53)",8.9 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(68, 61)","(61, 43)","(48, 36)","(48, 53)",8.9 km/h,,,,,,,
"(30, 40)","(38, 66)","(55, 71)","(68, 61)","(63, 45)","(52, 38)","(47, 52)",8.9 km/h,,,,,,,
"(45, 38)","(57, 43)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",8.9 km/h,,,,,,,
"(33, 42)","(45, 38)","(57, 43)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",8.9 km/h,,,,,,,
"(44, 38)","(57, 43)","(65, 60)","(54, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(44, 38)","(56, 43)","(65, 60)","(54, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(31, 40)","(38, 66)","(54, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",8.9 km/h,,,,,,,
"(31, 45)","(48, 39)","(62, 48)","(65, 60)","(51, 69)","(37, 61)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(43, 38)","(58, 44)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",8.9 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",8.9 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",8.9 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 72)","(68, 61)","(61, 43)","(48, 36)","(48, 53)",8.9 km/h,,,,,,,
"(29, 41)","(37, 65)","(56, 71)","(68, 61)","(63, 45)","(52, 38)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(44, 38)","(56, 43)","(65, 60)","(53, 69)","(40, 64)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(31, 40)","(36, 65)","(54, 72)","(68, 61)","(61, 43)","(48, 36)","(48, 53)",8.9 km/h,,,,,,,
"(45, 38)","(55, 42)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",8.9 km/h,,,,,,,
"(30, 40)","(37, 65)","(55, 71)","(67, 62)","(61, 43)","(45, 35)","(47, 53)",8.9 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(54, 69)","(40, 64)","(31, 46)","(48, 53)",8.9 km/h,,,,,,,
"(30, 40)","(35, 64)","(55, 71)","(68, 61)","(63, 45)","(52, 38)","(47, 52)",8.9 km/h,,,,,,,
"(44, 38)","(55, 42)","(65, 60)","(54, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(56, 43)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(45, 38)","(64, 50)","(64, 61)","(52, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(38, 66)","(55, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(57, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(54, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(53, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(58, 44)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(53, 69)","(40, 64)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(30, 41)","(38, 66)","(55, 72)","(67, 63)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(46, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(29, 41)","(37, 65)","(55, 72)","(68, 62)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(62, 43)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(30, 41)","(37, 65)","(55, 72)","(69, 61)","(64, 45)","(52, 38)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(38, 66)","(54, 72)","(67, 62)","(59, 42)","(48, 36)","(47, 53)",9.4 km/h,,,,,,,
"(32, 45)","(48, 39)","(62, 48)","(66, 60)","(51, 69)","(37, 61)","(48, 53)",9.4 km/h,,,,,,,
"(32, 42)","(43, 38)","(55, 42)","(64, 60)","(52, 69)","(39, 63)","(47, 52)",9.4 km/h,,,,,,,
"(30, 41)","(37, 65)","(56, 72)","(68, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(55, 71)","(67, 62)","(61, 43)","(46, 35)","(47, 52)",9.4 km/h,,,,,,,
"(31, 45)","(48, 39)","(62, 48)","(65, 61)","(51, 69)","(37, 61)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(38, 66)","(54, 72)","(67, 63)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 72)","(68, 61)","(61, 43)","(45, 35)","(47, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(68, 61)","(63, 45)","(52, 38)","(47, 53)",9.4 km/h,,,,,,,
"(46, 38)","(58, 44)","(65, 60)","(54, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 72)","(68, 61)","(64, 46)","(52, 38)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(55, 42)","(65, 60)","(54, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(38, 66)","(55, 71)","(68, 61)","(63, 44)","(45, 35)","(47, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(60, 42)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(36, 65)","(55, 71)","(68, 61)","(63, 45)","(52, 38)","(47, 52)",9.4 km/h,,,,,,,
"(31, 40)","(38, 66)","(55, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(46, 38)","(57, 43)","(64, 61)","(53, 69)","(39, 63)","(30, 46)","(48, 53)",9.4 km/h,,,,,,,
"(29, 41)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(57, 43)","(65, 60)","(54, 69)","(40, 64)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(57, 43)","(65, 60)","(53, 69)","(40, 64)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(38, 66)","(55, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(57, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(62, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(55, 71)","(68, 61)","(63, 45)","(52, 38)","(48, 53)",9.4 km/h,,,,,,,
"(48, 39)","(58, 44)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(61, 43)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(46, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(30, 41)","(38, 66)","(55, 72)","(68, 62)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(64, 61)","(52, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(30, 41)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(53, 72)","(67, 62)","(60, 42)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(29, 40)","(38, 66)","(52, 72)","(67, 62)","(61, 43)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(30, 41)","(37, 65)","(55, 72)","(68, 62)","(63, 45)","(52, 38)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(61, 43)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(32, 44)","(42, 39)","(57, 43)","(65, 61)","(54, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(28, 41)","(36, 65)","(54, 72)","(67, 62)","(63, 45)","(52, 38)","(47, 53)",9.4 km/h,,,,,,,
"(48, 39)","(57, 43)","(65, 60)","(54, 69)","(40, 64)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(55, 42)","(65, 60)","(53, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(68, 61)","(61, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 72)","(67, 63)","(61, 43)","(45, 35)","(47, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(67, 63)","(61, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(62, 43)","(46, 35)","(47, 52)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(69, 61)","(63, 44)","(54, 39)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(53, 72)","(68, 61)","(60, 42)","(46, 35)","(48, 53)",9.4 km/h,,,,,,,
"(32, 45)","(49, 39)","(62, 48)","(65, 61)","(51, 69)","(36, 59)","(48, 53)",9.4 km/h,,,,,,,
"(46, 38)","(57, 43)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(46, 38)","(62, 47)","(65, 60)","(54, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(29, 41)","(37, 65)","(54, 72)","(68, 61)","(62, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(55, 72)","(67, 63)","(62, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(54, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(54, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(63, 44)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(65, 60)","(54, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(62, 43)","(46, 35)","(47, 52)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(30, 40)","(37, 65)","(54, 71)","(67, 62)","(63, 44)","(45, 35)","(47, 52)",9.4 km/h,,,,,,,
"(31, 40)","(38, 66)","(55, 72)","(67, 63)","(61, 43)","(48, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(46, 38)","(58, 44)","(64, 61)","(53, 69)","(39, 63)","(48, 53)",9.4 km/h,,,,,,,
"(31, 40)","(37, 65)","(55, 72)","(67, 63)","(61, 43)","(47, 36)","(48, 53)",9.4 km/h,,,,,,,
"(33, 42)","(45, 38)","(58, 44)","(64, 61)","(53, 69)","(40, 64)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(40, 64)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(58, 44)","(65, 60)","(53, 69)","(39, 63)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(45, 38)","(57, 43)","(65, 60)","(53, 69)","(39, 63)","(31, 45)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(56, 43)","(65, 60)","(53, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(44, 38)","(56, 43)","(65, 60)","(53, 69)","(40, 64)","(31, 46)","(48, 53)",9.4 km/h,,,,,,,
"(43, 38)","(58, 44)","(65, 60)","(53, 69)","(40, 64)","(29, 47)","(48, 53)",9.4 km/h,,,,,,,
