"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(63, 27)","(85, 20)","(99, 29)","(100, 45)","(79, 51)","(64, 42)"
"(61, 23)","(63, 46)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(61, 45)","(79, 54)","(102, 50)","(99, 24)","(85, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 22)","(63, 46)","(78, 54)","(103, 48)","(99, 24)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(61, 23)","(63, 46)","(78, 54)","(103, 48)","(100, 25)","(84, 17)"
"(62, 21)","(63, 46)","(78, 54)","(102, 49)","(100, 25)","(84, 17)"
