"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(49, 26)","(48, 50)","(65, 59)","(90, 52)","(87, 29)","(72, 22)"
"(51, 31)","(67, 25)","(83, 31)","(86, 51)","(67, 56)","(53, 49)"
"(49, 26)","(48, 50)","(65, 59)","(88, 56)","(87, 29)","(72, 22)"
"(51, 31)","(67, 25)","(83, 31)","(86, 51)","(67, 56)","(53, 49)"
"(49, 26)","(48, 50)","(65, 59)","(88, 56)","(87, 29)","(72, 22)"
"(51, 31)","(67, 25)","(83, 31)","(86, 51)","(67, 56)","(53, 49)"
"(49, 26)","(48, 50)","(65, 59)","(88, 56)","(87, 29)","(72, 22)"
"(51, 31)","(67, 25)","(83, 31)","(86, 51)","(67, 56)","(53, 49)"
"(49, 26)","(48, 50)","(65, 59)","(88, 56)","(87, 29)","(72, 22)"
"(51, 31)","(67, 25)","(83, 31)","(86, 51)","(67, 56)","(53, 49)"
